direction,AUC,AUPR,LogAUC,recall_1,recall_5,recall_10,recall_25,recall_50,EF_1,EF_5,EF_10,EF_25EF_50
pathway94_60_2,1.0,1.0,0.08715491198899082,1.0,1.0,1.0,1.0,1.0,0.02004008016032064,0.10220440881763528,0.20440881763527055,0.5130260521042084,1.0
pathway49_30_1,1.0,1.0,0.08068701499537369,1.0,1.0,1.0,1.0,1.0,0.01855287569573284,0.09461966604823747,0.18923933209647495,0.4749536178107607,0.9499072356215214
pathway19_30_6,1.0,1.0,0.08412050499517681,1.0,1.0,1.0,1.0,1.0,0.019342359767891684,0.09864603481624758,0.19729206963249515,0.4951644100580271,0.9903288201160542
donate_2_more,1.0,0.9999999999999999,0.0891194694313656,1.0,1.0,1.0,1.0,1.0,0.020491803278688523,0.10450819672131148,0.20901639344262296,0.5245901639344263,1.0
pathway19_45_7,1.0,1.0,0.07850234852437982,1.0,1.0,1.0,1.0,1.0,0.018050541516245487,0.09205776173285199,0.18411552346570398,0.4620938628158845,0.924187725631769
pathway19_90_5,1.0,1.0,0.08629027992560798,1.0,1.0,1.0,1.0,1.0,0.01984126984126984,0.10119047619047619,0.20238095238095238,0.5079365079365079,1.0
pathway49_75_4,1.0,1.0,0.08494199430177032,1.0,1.0,1.0,1.0,1.0,0.01953125,0.099609375,0.19921875,0.5,1.0
pathway49_60_8,1.0,1.0,0.08750563598089822,1.0,1.0,1.0,1.0,1.0,0.02012072434607646,0.10261569416498995,0.2052313883299799,0.5150905432595574,1.0
pathway19_90_1,1.0,1.0,0.08803704672572149,1.0,1.0,1.0,1.0,1.0,0.020242914979757085,0.10323886639676114,0.20647773279352227,0.5182186234817814,1.0
pathway19_90_8,1.0,1.0,0.0846114807052654,1.0,1.0,1.0,1.0,1.0,0.019455252918287938,0.09922178988326848,0.19844357976653695,0.4980544747081712,0.9961089494163424
pathway94_30_4,1.0,1.0,0.08646183117794516,1.0,1.0,1.0,1.0,1.0,0.019880715705765408,0.10139165009940358,0.20278330019880716,0.5089463220675944,1.0
pathway19_30_9,1.0,1.0,0.0846114807052654,1.0,1.0,1.0,1.0,1.0,0.019455252918287938,0.09922178988326848,0.19844357976653695,0.4980544747081712,0.9961089494163424
pathway19_45_4,1.0,1.0,0.08561082890257168,1.0,1.0,1.0,1.0,1.0,0.01968503937007874,0.10039370078740158,0.20078740157480315,0.5039370078740157,1.0
pathway49_15_7,1.0,1.0,0.08527510016177729,1.0,1.0,1.0,1.0,1.0,0.0196078431372549,0.1,0.2,0.5019607843137255,1.0
pathway19_105_0,1.0,1.0,0.0842835292296636,1.0,1.0,1.0,1.0,1.0,0.01937984496124031,0.09883720930232558,0.19767441860465115,0.49612403100775193,0.9922480620155039
pathway19_90_6,1.0,0.9999999999999999,0.09060479392188836,1.0,1.0,1.0,1.0,1.0,0.020833333333333332,0.10625,0.2125,0.5333333333333333,1.0
pathway49_75_9,1.0,1.0,0.0805375945972341,1.0,1.0,1.0,1.0,1.0,0.018518518518518517,0.09444444444444444,0.18888888888888888,0.4740740740740741,0.9481481481481482
pathway94_60_4,1.0,1.0,0.08347466618523304,1.0,1.0,1.0,1.0,1.0,0.019193857965451054,0.09788867562380038,0.19577735124760076,0.491362763915547,0.982725527831094
pathway19_60_5,1.0,1.0,0.0847764153655096,1.0,1.0,1.0,1.0,1.0,0.01949317738791423,0.09941520467836257,0.19883040935672514,0.49902534113060426,0.9980506822612085
pathway49_45_5,1.0,1.0,0.08444718656797362,1.0,1.0,1.0,1.0,1.0,0.019417475728155338,0.09902912621359224,0.19805825242718447,0.4970873786407767,0.9941747572815534
pathway49_75_1,1.0,1.0,0.08577968655326709,1.0,1.0,1.0,1.0,1.0,0.01972386587771203,0.10059171597633136,0.20118343195266272,0.504930966469428,1.0
pathway94_30_7,1.0,0.9999999999999999,0.09022884042013779,1.0,1.0,1.0,1.0,1.0,0.02074688796680498,0.10580912863070539,0.21161825726141079,0.5311203319502075,1.0
pathway19_60_0,1.0,1.0,0.08299675779104278,1.0,1.0,1.0,1.0,1.0,0.019083969465648856,0.09732824427480916,0.1946564885496183,0.48854961832061067,0.9770992366412213
halve_1_8,1.0,1.0,0.08577968655326709,1.0,1.0,1.0,1.0,1.0,0.01972386587771203,0.10059171597633136,0.20118343195266272,0.504930966469428,1.0
pathway19_15_2,1.0,1.0,0.08315545140058588,1.0,1.0,1.0,1.0,1.0,0.019120458891013385,0.09751434034416825,0.1950286806883365,0.4894837476099426,0.9789674952198852
